11
1;149
2;55
3;110
4;138
5;123
6;131
7;120
8;107
9;56
10;78
11;83
12;119
13;85
14;126
15;92
16;59
17;77
18;127
19;155
20;77
21;168
22;161
23;121
24;103
25;72
26;131
27;146
28;90
29;96
30;87
31;168
32;62
33;111
34;125
35;127
36;78
37;132
38;99
39;102
40;139
41;158
42;111
43;83
44;142
45;137
46;131
47;70
48;151
49;89
50;152
51;136
52;105
53;167
54;89
55;104
56;126
57;106
58;159
59;80
60;162
61;79
62;119
63;78
64;157
65;74
66;123
67;86
68;65
69;137
70;86
71;59
72;140
73;169
74;118
75;166
76;156
77;55
78;62
79;109
80;63
81;122
82;160
83;96
84;78
85;69
86;129
87;156
88;144
89;128
90;130
91;100
92;67
93;149
94;114
95;104
96;107
97;115
98;146
99;88
100;51
101;127
